iter	Logloss
0	0.6377423401
1	0.5954895925
2	0.5570451179
3	0.5303710659
4	0.5021103672
5	0.4854889964
6	0.4690702007
7	0.4468843107
8	0.4258360736
9	0.408825964
10	0.3901879211
11	0.3776449958
12	0.3635154629
13	0.351646206
14	0.3396107703
15	0.3266515451
16	0.3137975828
17	0.3033506797
18	0.2937273839
19	0.2846200854
20	0.2763733577
21	0.2680118017
22	0.2625521184
23	0.2576289992
24	0.2509857543
25	0.2468091557
26	0.2429350241
27	0.2379975556
28	0.2325954444
29	0.2280747964
30	0.2210814652
31	0.2157370777
32	0.2115962759
33	0.2089947312
34	0.2044655729
35	0.1991338676
36	0.195788503
37	0.1910921445
38	0.1862993154
39	0.1836743382
40	0.1797609363
41	0.1765365754
42	0.1733491554
43	0.1694410856
44	0.1678926023
45	0.1636769004
46	0.1595165803
47	0.1565787378
48	0.1538636057
49	0.1504991522
50	0.1482108113
51	0.1465337577
52	0.14328954
53	0.1392996732
