iter	Passed	Remaining
0	11	9481
1	22	9159
2	32	8531
3	42	8459
4	51	8190
5	60	8044
6	70	8035
7	80	7949
8	90	7932
9	99	7878
10	110	7929
11	122	8056
12	133	8102
13	144	8108
14	156	8186
15	167	8211
16	177	8192
17	188	8197
18	199	8202
19	209	8177
20	222	8239
21	233	8256
22	244	8258
23	254	8240
24	266	8255
25	277	8270
26	288	8247
27	298	8241
28	309	8226
29	319	8203
30	330	8199
31	341	8197
32	351	8178
33	362	8175
34	374	8186
35	384	8160
36	395	8154
37	407	8167
38	417	8140
39	428	8132
40	439	8142
41	450	8123
42	464	8171
43	476	8180
44	488	8201
45	501	8212
46	511	8199
47	524	8212
48	536	8219
49	548	8234
50	565	8301
51	582	8379
52	600	8463
53	619	8556
