feature,importance
dii_net_flow,2
options_pcr_ratio,1
amihud_illiquidity,1
realized_vol,1
momentum,1
rvol,1
session_afternoon,0
ema_slope,0
atr,0
gk_vol,0
options_max_pain,0
time_cos,0
session_lunch,0
sentiment_score,0
options_unusual_oi,0
vol_delta,0
session_closing,0
fii_net_flow,0
time_minutes,0
fii_dii_flow_mom,0
kyles_lambda,0
vwap_dev,0
bb_width,0
nifty_futures_basis,0
range_exp,0
options_pcr,0
time_sin,0
options_max_pain_dev,0
session_opening,0
session_morning,0
adx,0
rel_strength,0
trade_size_dist,0
