feature,importance
dii_net_flow,0.07896563
fii_net_flow,0.066054404
options_max_pain_dev,0.056091573
options_pcr_ratio,0.05603733
options_max_pain,0.053012714
fii_dii_flow_mom,0.0509742
amihud_illiquidity,0.042809032
realized_vol,0.04248953
gk_vol,0.042087376
momentum,0.040963896
ema_slope,0.03791567
adx,0.035366092
bb_width,0.033747282
kyles_lambda,0.031412967
time_sin,0.030623358
rel_strength,0.030122854
time_minutes,0.029405715
vwap_dev,0.02903211
atr,0.026670566
time_cos,0.025659204
session_closing,0.024971958
options_unusual_oi,0.021435598
rvol,0.020516055
session_morning,0.019787608
options_pcr,0.017792063
range_exp,0.016600331
session_afternoon,0.016081676
trade_size_dist,0.012787053
nifty_futures_basis,0.01058621
session_lunch,0.0
sentiment_score,0.0
vol_delta,0.0
session_opening,0.0
