iter	Logloss
0	0.6571381431
1	0.6339795043
2	0.6001521984
3	0.5754521429
4	0.5537768726
5	0.5277942336
6	0.5101809074
7	0.4941859766
8	0.4698638629
9	0.4543452149
10	0.4366100125
11	0.4244189232
12	0.4080347457
13	0.3986392789
14	0.3849330593
15	0.3732593026
16	0.3654960404
17	0.3544145666
18	0.3442890965
19	0.3362032442
20	0.3306063624
21	0.3243019785
22	0.316993116
23	0.3077537299
24	0.2998491559
25	0.2945377573
26	0.2875281389
27	0.2816246885
28	0.2757829712
29	0.2744926077
30	0.2698175066
31	0.2656356961
32	0.2627638896
33	0.2571274319
34	0.2515166567
35	0.246022943
36	0.2424862311
37	0.2395097822
38	0.23603856
39	0.2329264322
40	0.2296074145
41	0.223119146
42	0.2206790835
43	0.2165479366
44	0.2126129862
45	0.2082073408
46	0.2036887851
47	0.1991688183
48	0.1963404841
49	0.1945428675
50	0.1918312575
51	0.1880197245
52	0.183170002
53	0.18085063
54	0.1785296799
55	0.1763060434
56	0.1742265325
57	0.1716806227
58	0.1696518543
59	0.1678877859
60	0.1649160338
61	0.1630880452
62	0.1610741355
63	0.1588741725
64	0.1571356622
65	0.1556677277
66	0.1533695563
67	0.1519096846
68	0.1511009174
69	0.1492267056
70	0.1473520697
71	0.145742962
72	0.1434061641
73	0.1397677703
74	0.1376550785
75	0.1358952415
76	0.1345735264
77	0.132419317
78	0.130104278
