iter	Passed	Remaining
0	7	5665
1	12	4950
2	17	4604
3	23	4767
4	29	4613
5	34	4516
6	40	4620
7	45	4536
8	51	4485
9	56	4495
10	62	4450
11	67	4405
12	72	4417
13	78	4383
14	83	4348
15	88	4352
16	93	4325
17	99	4304
18	104	4307
19	109	4280
20	114	4264
21	120	4258
22	125	4239
23	130	4220
24	136	4233
25	141	4219
26	147	4220
27	152	4216
28	158	4204
29	161	4144
30	167	4158
31	173	4160
32	178	4159
33	184	4159
34	189	4150
35	196	4167
36	201	4163
37	207	4153
38	214	4188
39	220	4185
40	225	4173
41	231	4185
42	237	4184
43	245	4222
44	252	4233
45	260	4262
46	266	4264
47	272	4268
48	280	4294
49	285	4280
50	291	4280
51	296	4269
52	302	4261
53	309	4273
54	314	4262
55	320	4252
56	326	4256
57	331	4245
58	337	4235
59	342	4230
60	348	4220
61	355	4228
62	360	4217
63	366	4209
64	372	4213
65	377	4203
66	383	4191
67	389	4195
68	394	4183
69	400	4180
70	406	4175
71	412	4168
72	419	4173
73	424	4167
74	430	4159
75	437	4167
76	443	4159
77	449	4160
78	455	4154
