feature,importance
hurst,0.07370967
trade_sign_corr,0.06716563
vol_delta,0.062189493
bb_width,0.05962487
vwap_dev,0.05437653
rel_strength,0.052287396
kyles_lambda,0.05215428
realized_vol,0.05147455
gk_vol,0.051260248
momentum,0.04782521
adx,0.045350607
nifty_basis_pct,0.04080467
sell_volume,0.03520622
rvol,0.033318903
time_sin,0.030648641
vpin,0.02899225
time_minutes,0.02790008
time_cos,0.023821939
amihud_illiquidity,0.02261174
ema_slope,0.019831318
ofi_proxy,0.019107718
fii_dii_flow_mom,0.018250024
range_exp,0.015875211
trade_size_dist,0.01449427
atr,0.011990694
buy_volume,0.011182597
session_morning,0.011074894
divergence,0.010825547
session_lunch,0.0066447407
session_afternoon,0.0
session_opening,0.0
sentiment_score,0.0
session_closing,0.0
