feature,importance
vol_delta,0.08540762
vwap_dev,0.07621714
atr,0.07196834
realized_vol,0.07179926
gk_vol,0.06722222
amihud_illiquidity,0.05988864
adx,0.056301486
kyles_lambda,0.051266033
time_cos,0.05069804
bb_width,0.050481845
session_closing,0.047268838
ema_slope,0.044571698
time_sin,0.043244876
rel_strength,0.042484697
session_afternoon,0.032962263
rvol,0.032111846
momentum,0.030140119
range_exp,0.029899064
time_minutes,0.028109848
session_lunch,0.016694985
session_opening,0.01126119
trade_size_dist,0.0
session_morning,0.0
sentiment_score,0.0
