feature,importance
gk_vol,0.08786507
kyles_lambda,0.06920907
atr,0.06788798
vwap_dev,0.062303167
bb_width,0.06141109
session_afternoon,0.06125609
vol_delta,0.051771797
session_closing,0.050584268
realized_vol,0.049512193
time_cos,0.047095895
amihud_illiquidity,0.046879776
time_sin,0.044042263
session_lunch,0.043816768
adx,0.034870777
time_minutes,0.034312315
session_morning,0.033977948
rel_strength,0.033607323
trade_size_dist,0.027281485
ema_slope,0.026831165
momentum,0.026490005
rvol,0.022318758
range_exp,0.01667482
session_opening,0.0
sentiment_score,0.0
