feature,importance
dii_net_flow,0.10266821
options_max_pain_dev,0.06586431
fii_net_flow,0.06144232
options_pcr_ratio,0.058341652
session_closing,0.055944927
time_minutes,0.045846634
amihud_illiquidity,0.045323424
realized_vol,0.041874003
fii_dii_flow_mom,0.04075326
vwap_dev,0.03600096
trade_size_dist,0.035234034
options_max_pain,0.034760393
time_sin,0.03363746
adx,0.03244058
gk_vol,0.031318147
ema_slope,0.029275063
session_opening,0.028746428
bb_width,0.028348915
rel_strength,0.02656619
kyles_lambda,0.02585944
session_morning,0.02342677
momentum,0.022182502
atr,0.020920584
time_cos,0.018421926
options_pcr,0.014031924
rvol,0.012198014
options_unusual_oi,0.011182124
range_exp,0.009629743
nifty_futures_basis,0.0077600977
vol_delta,0.0
session_lunch,0.0
session_afternoon,0.0
sentiment_score,0.0
