feature,importance
session_morning,0.08641855
time_sin,0.06994632
ema_slope,0.06327972
vwap_dev,0.062098227
vol_delta,0.059100024
adx,0.0522402
realized_vol,0.05063907
rel_strength,0.049880628
momentum,0.048418716
kyles_lambda,0.048063103
session_closing,0.047039993
amihud_illiquidity,0.04493472
gk_vol,0.044233616
atr,0.04257603
bb_width,0.036580734
time_cos,0.031632096
time_minutes,0.03005235
session_afternoon,0.029161183
session_lunch,0.02473069
trade_size_dist,0.024326123
rvol,0.020868702
range_exp,0.017503409
session_opening,0.016275879
sentiment_score,0.0
