feature,importance
session_lunch,0.09438752
gk_vol,0.06330985
kyles_lambda,0.060708404
hurst,0.05727742
nifty_basis_pct,0.057155386
amihud_illiquidity,0.056393642
minutes_to_close,0.05022532
time_cos,0.046643663
adx,0.04486861
ema_slope,0.042725615
vwap_dev,0.042582538
vol_delta,0.0417194
realized_vol,0.039182622
bb_width,0.03795627
trade_sign_corr,0.036838476
rel_strength,0.034829173
trade_size_dist,0.029495724
atr,0.029307736
momentum,0.029221002
vpin,0.029118199
time_sin,0.027642904
rvol,0.022097053
fii_dii_flow_mom,0.014466022
range_exp,0.010123309
divergence,0.001724151
session_opening,0.0
session_morning,0.0
session_closing,0.0
session_afternoon,0.0
sentiment_score,0.0
