feature,importance
session_lunch,0.06547794
session_morning,0.051134866
vwap_dev,0.049830522
vol_delta,0.043509886
time_minutes,0.04274592
kyles_lambda,0.04032891
session_opening,0.03976609
time_sin,0.039571393
time_cos,0.038654502
hurst,0.037210327
trade_sign_corr,0.037046432
session_closing,0.036253117
rel_strength,0.034712303
gk_vol,0.032978237
amihud_illiquidity,0.03290163
adx,0.03269409
bb_width,0.031696305
nifty_basis_pct,0.030802602
realized_vol,0.029178387
vpin,0.028261928
ema_slope,0.027450351
divergence,0.026576933
fii_dii_flow_mom,0.026259894
momentum,0.025893256
range_exp,0.024855537
ofi_proxy,0.021369409
sell_volume,0.019795474
rvol,0.018782258
buy_volume,0.017942352
trade_size_dist,0.016319128
session_afternoon,0.0
sentiment_score,0.0
