feature,importance
fii_net_flow,7
options_max_pain_dev,6
options_pcr_ratio,6
dii_net_flow,5
realized_vol,4
fii_dii_flow_mom,3
amihud_illiquidity,3
ema_slope,2
vwap_dev,1
rvol,1
time_minutes,1
session_closing,0
options_pcr,0
options_max_pain,0
sentiment_score,0
time_cos,0
session_lunch,0
session_afternoon,0
rel_strength,0
nifty_futures_basis,0
vol_delta,0
bb_width,0
adx,0
time_sin,0
trade_size_dist,0
session_morning,0
atr,0
options_unusual_oi,0
range_exp,0
gk_vol,0
kyles_lambda,0
momentum,0
session_opening,0
