feature,importance
session_morning,0.09495271
fii_net_flow,0.07899549
dii_net_flow,0.074790165
options_pcr_ratio,0.059401255
options_max_pain_dev,0.05743585
session_closing,0.048046935
fii_dii_flow_mom,0.047054432
time_minutes,0.042604048
realized_vol,0.039347142
amihud_illiquidity,0.03820974
vwap_dev,0.032424677
bb_width,0.031300988
time_sin,0.029961389
ema_slope,0.029403701
adx,0.027447706
options_max_pain,0.026221488
kyles_lambda,0.024159659
gk_vol,0.024128739
time_cos,0.023298072
trade_size_dist,0.023280906
rel_strength,0.023226198
session_lunch,0.023109654
atr,0.022685887
momentum,0.022234464
options_pcr,0.015386054
rvol,0.014211158
range_exp,0.011648607
options_unusual_oi,0.0076550874
nifty_futures_basis,0.007377888
session_afternoon,0.0
vol_delta,0.0
sentiment_score,0.0
session_opening,0.0
