feature,importance
options_max_pain_dev,15
dii_net_flow,10
fii_dii_flow_mom,6
options_pcr_ratio,6
kyles_lambda,5
gk_vol,5
amihud_illiquidity,5
rel_strength,4
momentum,4
realized_vol,3
fii_net_flow,3
vwap_dev,3
session_morning,3
options_pcr,3
bb_width,2
rvol,2
ema_slope,2
time_cos,1
adx,1
time_sin,1
session_lunch,0
trade_size_dist,0
atr,0
session_opening,0
options_max_pain,0
time_minutes,0
session_afternoon,0
range_exp,0
vol_delta,0
nifty_futures_basis,0
session_closing,0
options_unusual_oi,0
sentiment_score,0
