feature,importance
dii_net_flow,0.09492221
fii_net_flow,0.06518612
options_max_pain_dev,0.055661518
options_pcr_ratio,0.05336365
amihud_illiquidity,0.046598844
fii_dii_flow_mom,0.04608142
gk_vol,0.043346807
realized_vol,0.04217906
adx,0.039812844
momentum,0.03830994
ema_slope,0.03826123
options_max_pain,0.036657427
time_minutes,0.0351209
kyles_lambda,0.03353259
vwap_dev,0.0331328
bb_width,0.03248656
options_unusual_oi,0.03210522
rel_strength,0.030669084
atr,0.028362453
time_sin,0.027533725
session_morning,0.023928672
options_pcr,0.022678318
time_cos,0.020480007
trade_size_dist,0.020143919
rvol,0.01999822
range_exp,0.018239316
nifty_futures_basis,0.008061413
session_afternoon,0.006796954
session_closing,0.0063487687
session_lunch,0.0
session_opening,0.0
vol_delta,0.0
sentiment_score,0.0
