feature,importance
session_lunch,0.16158365
gk_vol,0.05863822
kyles_lambda,0.057719328
nifty_basis_pct,0.05430029
session_closing,0.050923668
time_minutes,0.050398663
amihud_illiquidity,0.04995879
adx,0.04394452
vol_delta,0.041065495
realized_vol,0.040272295
ema_slope,0.038965624
trade_size_dist,0.037265576
bb_width,0.036736455
rel_strength,0.035256512
vwap_dev,0.032967065
time_cos,0.03294697
atr,0.03210817
momentum,0.02857499
time_sin,0.027003098
rvol,0.025486514
ofi_proxy,0.021119915
range_exp,0.015991608
session_afternoon,0.014657328
session_morning,0.012115308
sentiment_score,0.0
session_opening,0.0
