feature,importance
vol_delta,0.06920249
vwap_dev,0.06916638
atr,0.06722647
realized_vol,0.065272324
amihud_illiquidity,0.06334313
gk_vol,0.06262768
kyles_lambda,0.058904562
adx,0.049406555
bb_width,0.044176318
ema_slope,0.044100378
time_cos,0.04370281
time_sin,0.040547576
session_afternoon,0.03932999
session_opening,0.03926107
rel_strength,0.039116863
time_minutes,0.038403876
momentum,0.03757216
rvol,0.030021006
range_exp,0.028056946
session_morning,0.025774619
session_lunch,0.025665816
session_closing,0.019120917
sentiment_score,0.0
trade_size_dist,0.0
