feature,importance
gk_vol,0.10438599
atr,0.09767847
session_afternoon,0.06525056
realized_vol,0.061602797
kyles_lambda,0.060275428
vwap_dev,0.057784636
vol_delta,0.05414897
session_closing,0.053462967
time_minutes,0.05212914
bb_width,0.0520922
amihud_illiquidity,0.046655547
adx,0.044450946
momentum,0.041270837
time_sin,0.04110538
rel_strength,0.034964785
ema_slope,0.03175314
rvol,0.02928974
range_exp,0.029153932
time_cos,0.027205393
session_lunch,0.015339214
session_morning,0.0
session_opening,0.0
sentiment_score,0.0
trade_size_dist,0.0
