feature,importance
session_lunch,0.084517784
gk_vol,0.07884618
kyles_lambda,0.068944834
vol_delta,0.060587928
time_minutes,0.057077803
ema_slope,0.05465791
adx,0.050017945
session_closing,0.048850015
bb_width,0.046876617
realized_vol,0.04563677
time_cos,0.0455013
vwap_dev,0.045135334
amihud_illiquidity,0.044554174
rel_strength,0.03914443
momentum,0.038325887
atr,0.037832607
time_sin,0.03780825
session_afternoon,0.03575494
rvol,0.022646932
range_exp,0.02072282
trade_size_dist,0.020515447
session_morning,0.016044086
session_opening,0.0
sentiment_score,0.0
