feature,importance
time_minutes,0.067578316
gk_vol,0.062132977
time_sin,0.05977396
vol_delta,0.059652813
atr,0.059042018
momentum,0.059025384
ema_slope,0.05368824
vwap_dev,0.05110162
kyles_lambda,0.0504686
amihud_illiquidity,0.049518585
adx,0.049297187
realized_vol,0.048714623
trade_size_dist,0.04700102
session_afternoon,0.043678332
rel_strength,0.042822372
bb_width,0.04200341
session_closing,0.03476957
time_cos,0.033783782
session_lunch,0.027378267
rvol,0.022773828
range_exp,0.021961413
session_opening,0.009212445
session_morning,0.004621234
sentiment_score,0.0
