feature,importance
session_lunch,0.15211721
time_minutes,0.058947813
kyles_lambda,0.057162583
gk_vol,0.056448616
hurst,0.056015253
nifty_basis_pct,0.050042786
amihud_illiquidity,0.046309005
vol_delta,0.042665653
adx,0.042533237
vwap_dev,0.03585896
bb_width,0.035425816
rel_strength,0.0351319
ema_slope,0.034712557
momentum,0.03232277
realized_vol,0.03182814
vpin,0.030913837
atr,0.030793834
time_cos,0.030053915
trade_sign_corr,0.027329812
rvol,0.024109906
fii_dii_flow_mom,0.02408956
time_sin,0.023809617
session_closing,0.0156847
trade_size_dist,0.012920012
range_exp,0.012391124
divergence,0.00038126815
session_afternoon,0.0
session_opening,0.0
sentiment_score,0.0
session_morning,0.0
