feature,importance
vwap_dev,0.058784842
vol_delta,0.050457943
minutes_to_close,0.049466815
time_sin,0.044601984
session_lunch,0.04398582
time_cos,0.041643526
kyles_lambda,0.041161582
session_morning,0.03967527
amihud_illiquidity,0.03937573
realized_vol,0.03814286
rel_strength,0.03711549
trade_sign_corr,0.03703904
bb_width,0.03629644
adx,0.03582476
nifty_basis_pct,0.035606857
hurst,0.03429702
atr,0.034146786
session_closing,0.0340988
ema_slope,0.03183
vpin,0.029928315
fii_dii_flow_mom,0.028468752
momentum,0.028321901
ofi_proxy,0.02354447
range_exp,0.023441214
rvol,0.022588829
sell_volume,0.022470573
divergence,0.020090701
buy_volume,0.019376982
trade_size_dist,0.018216683
sentiment_score,0.0
session_afternoon,0.0
session_opening,0.0
