feature,importance
session_lunch,0.091227934
vwap_dev,0.054104272
session_morning,0.04719943
vol_delta,0.046240073
time_minutes,0.042351563
time_sin,0.04183164
kyles_lambda,0.03829097
time_cos,0.037871964
rel_strength,0.03750889
amihud_illiquidity,0.03672754
realized_vol,0.034534514
hurst,0.03389114
trade_sign_corr,0.033555556
adx,0.033007395
bb_width,0.03244494
atr,0.03111472
vpin,0.030454844
nifty_basis_pct,0.028912019
ema_slope,0.028686011
session_closing,0.025567092
ofi_proxy,0.025085649
range_exp,0.025048362
fii_dii_flow_mom,0.024113212
momentum,0.023669759
divergence,0.023545006
sell_volume,0.019865513
buy_volume,0.018964184
rvol,0.018961117
session_afternoon,0.018662572
trade_size_dist,0.016562084
sentiment_score,0.0
session_opening,0.0
