feature,importance
trade_size_dist,0.07067872
gk_vol,0.066893555
minutes_to_close,0.061848838
nifty_basis_pct,0.059221957
hurst,0.057787094
kyles_lambda,0.056677073
ema_slope,0.05218897
amihud_illiquidity,0.051526025
adx,0.04885172
bb_width,0.041140076
vwap_dev,0.039401088
session_lunch,0.036647122
vol_delta,0.035955917
realized_vol,0.033416662
trade_sign_corr,0.03299886
vpin,0.031945467
time_cos,0.030680679
rel_strength,0.029514385
session_afternoon,0.028036237
fii_dii_flow_mom,0.025962925
time_sin,0.0253858
rvol,0.024486586
atr,0.02334465
momentum,0.022600783
range_exp,0.012808827
session_morning,0.0
sentiment_score,0.0
session_opening,0.0
session_closing,0.0
divergence,0.0
