feature,importance
session_closing,0.07558893
vol_delta,0.07272135
vwap_dev,0.06825421
realized_vol,0.06418876
amihud_illiquidity,0.061056744
session_morning,0.05729321
atr,0.05504031
gk_vol,0.054268993
session_afternoon,0.053507596
kyles_lambda,0.04921042
ema_slope,0.047416907
time_cos,0.044460267
bb_width,0.042704724
time_sin,0.04043223
adx,0.0382235
rel_strength,0.03575526
minutes_to_close,0.03282199
momentum,0.027763741
range_exp,0.023904093
rvol,0.023176365
session_opening,0.02076758
session_lunch,0.011442787
trade_size_dist,0.0
sentiment_score,0.0
