feature,importance
gk_vol,0.09810738
session_afternoon,0.09033273
kyles_lambda,0.08469485
atr,0.07393105
realized_vol,0.061256398
vwap_dev,0.05971203
bb_width,0.054937735
time_cos,0.052087396
minutes_to_close,0.048444916
rel_strength,0.046999533
vol_delta,0.046902906
amihud_illiquidity,0.040914536
time_sin,0.040781975
adx,0.03797324
momentum,0.032864287
session_closing,0.03169896
ema_slope,0.027875487
rvol,0.02665584
session_lunch,0.023886707
range_exp,0.019942082
trade_size_dist,0.0
session_morning,0.0
sentiment_score,0.0
session_opening,0.0
