feature,importance
gk_vol,0.08498919
kyles_lambda,0.07785459
adx,0.05963318
ema_slope,0.057450406
vol_delta,0.05742339
bb_width,0.05170197
minutes_to_close,0.050926935
vwap_dev,0.04949248
amihud_illiquidity,0.046548195
rel_strength,0.045799542
time_cos,0.045270022
trade_size_dist,0.044761457
time_sin,0.042630214
momentum,0.04144912
atr,0.03914583
realized_vol,0.03686439
session_afternoon,0.036580514
session_lunch,0.033063486
session_closing,0.027829416
session_morning,0.02507641
range_exp,0.023064716
rvol,0.022444488
sentiment_score,0.0
session_opening,0.0
