feature,importance
time_sin,0.07555334
ema_slope,0.07014886
vwap_dev,0.06775728
kyles_lambda,0.06458636
vol_delta,0.06324225
adx,0.061471917
realized_vol,0.061071977
gk_vol,0.055946104
atr,0.053419843
amihud_illiquidity,0.051669724
bb_width,0.050429367
rel_strength,0.050270364
momentum,0.048115958
session_closing,0.037232522
minutes_to_close,0.037184756
trade_size_dist,0.032083973
session_morning,0.029659227
time_cos,0.029457703
range_exp,0.019239902
rvol,0.014734448
session_afternoon,0.013659385
session_lunch,0.0130647225
sentiment_score,0.0
session_opening,0.0
