feature,importance
session_lunch,0.09754441
gk_vol,0.06815214
kyles_lambda,0.060412776
minutes_to_close,0.058055546
ema_slope,0.05590928
nifty_basis_pct,0.054142702
trade_size_dist,0.05248697
adx,0.05193741
vol_delta,0.051083438
amihud_illiquidity,0.049725663
realized_vol,0.048428558
vwap_dev,0.044061735
rel_strength,0.043295275
bb_width,0.0429959
time_cos,0.041598298
atr,0.037124537
time_sin,0.033158693
momentum,0.032044232
rvol,0.028894616
fii_dii_flow_mom,0.019962268
session_closing,0.018315403
range_exp,0.010670162
sentiment_score,0.0
session_afternoon,0.0
session_morning,0.0
session_opening,0.0
