feature,importance
kyles_lambda,0.062107854
gk_vol,0.060451962
hurst,0.060360495
minutes_to_close,0.05880708
nifty_basis_pct,0.052539103
ema_slope,0.049559273
amihud_illiquidity,0.049418587
adx,0.048172172
session_afternoon,0.045425624
bb_width,0.04213789
trade_sign_corr,0.038241066
vol_delta,0.038020693
vwap_dev,0.0380086
time_cos,0.03757323
trade_size_dist,0.03655023
vpin,0.03479067
time_sin,0.032118596
rel_strength,0.0320427
momentum,0.030405998
atr,0.030303292
realized_vol,0.030255947
ofi_proxy,0.028584663
rvol,0.025067622
session_lunch,0.020363562
range_exp,0.013453931
divergence,0.0052391626
session_morning,0.0
sentiment_score,0.0
session_opening,0.0
session_closing,0.0
