feature,importance
kyles_lambda,3
options_max_pain_dev,3
dii_net_flow,2
time_minutes,1
rel_strength,1
momentum,1
options_pcr,1
vwap_dev,1
fii_dii_flow_mom,1
amihud_illiquidity,1
nifty_futures_basis,0
range_exp,0
sentiment_score,0
ema_slope,0
time_cos,0
trade_size_dist,0
bb_width,0
gk_vol,0
session_opening,0
options_unusual_oi,0
session_lunch,0
session_morning,0
session_afternoon,0
options_max_pain,0
realized_vol,0
fii_net_flow,0
atr,0
rvol,0
session_closing,0
adx,0
time_sin,0
options_pcr_ratio,0
vol_delta,0
