feature,importance
dii_net_flow,0.07065416
session_morning,0.068202116
session_lunch,0.06627853
fii_net_flow,0.064002454
options_max_pain_dev,0.05132134
options_pcr_ratio,0.050335985
trade_size_dist,0.04222039
realized_vol,0.04116659
amihud_illiquidity,0.035797022
fii_dii_flow_mom,0.034764312
gk_vol,0.03276853
rel_strength,0.03250731
options_max_pain,0.03234654
momentum,0.031757142
adx,0.029723596
kyles_lambda,0.029285302
ema_slope,0.028202338
bb_width,0.028161922
time_minutes,0.0263167
time_sin,0.026051208
vwap_dev,0.024480984
time_cos,0.022930738
atr,0.020235058
session_closing,0.01949391
options_unusual_oi,0.01918017
rvol,0.017790064
session_afternoon,0.017441409
range_exp,0.014913
options_pcr,0.013581067
nifty_futures_basis,0.008090083
sentiment_score,0.0
session_opening,0.0
vol_delta,0.0
