feature,importance
session_lunch,0.08683512
hurst,0.060716704
gk_vol,0.05819417
kyles_lambda,0.053640537
adx,0.049960744
minutes_to_close,0.048773494
ema_slope,0.047944576
amihud_illiquidity,0.045284674
vol_delta,0.040781967
nifty_basis_pct,0.039245535
vwap_dev,0.03840625
session_morning,0.03784245
bb_width,0.034001797
realized_vol,0.032839663
vpin,0.032538082
atr,0.031163707
rel_strength,0.031024788
trade_sign_corr,0.030186305
time_cos,0.029981438
momentum,0.029568907
trade_size_dist,0.028120762
fii_dii_flow_mom,0.025443051
session_afternoon,0.022574188
time_sin,0.022287175
rvol,0.020588722
divergence,0.012118028
range_exp,0.009937173
session_opening,0.0
sentiment_score,0.0
session_closing,0.0
