feature,importance
time_minutes,0.06863604
hurst,0.06752081
gk_vol,0.06628784
kyles_lambda,0.062664345
ema_slope,0.056274045
amihud_illiquidity,0.0548334
trade_sign_corr,0.054177545
nifty_basis_pct,0.053251255
vol_delta,0.04897966
adx,0.045141276
realized_vol,0.04195309
vpin,0.039265484
atr,0.039181445
rel_strength,0.038807783
vwap_dev,0.03709726
bb_width,0.03621705
time_cos,0.03514942
momentum,0.03446772
divergence,0.032596935
rvol,0.026714949
fii_dii_flow_mom,0.025347125
time_sin,0.021641936
range_exp,0.013793474
session_opening,0.0
sentiment_score,0.0
session_closing,0.0
session_afternoon,0.0
session_morning,0.0
session_lunch,0.0
trade_size_dist,0.0
