feature,importance
options_pcr_ratio,13
dii_net_flow,12
options_max_pain_dev,10
fii_net_flow,10
adx,7
rel_strength,5
realized_vol,4
amihud_illiquidity,4
bb_width,2
vwap_dev,2
fii_dii_flow_mom,2
gk_vol,2
time_sin,1
rvol,1
options_max_pain,1
momentum,1
time_cos,1
ema_slope,1
options_unusual_oi,0
atr,0
vol_delta,0
session_opening,0
session_morning,0
session_closing,0
session_lunch,0
nifty_futures_basis,0
session_afternoon,0
trade_size_dist,0
options_pcr,0
range_exp,0
time_minutes,0
sentiment_score,0
kyles_lambda,0
