feature,importance
gk_vol,0.09179337
session_afternoon,0.077124886
kyles_lambda,0.06401276
vol_delta,0.05984871
time_minutes,0.05483228
ema_slope,0.054120377
amihud_illiquidity,0.052088045
adx,0.05090565
rel_strength,0.050684314
time_cos,0.048892636
bb_width,0.048824415
vwap_dev,0.045802068
atr,0.04371797
realized_vol,0.042581696
time_sin,0.040860597
trade_size_dist,0.03874965
momentum,0.03397722
rvol,0.02515139
range_exp,0.024731284
session_morning,0.02228596
session_lunch,0.019549554
session_closing,0.009465144
session_opening,0.0
sentiment_score,0.0
