feature,importance
options_max_pain_dev,18
options_pcr_ratio,15
dii_net_flow,12
kyles_lambda,9
fii_net_flow,5
momentum,5
amihud_illiquidity,5
gk_vol,4
vwap_dev,4
fii_dii_flow_mom,4
ema_slope,4
rvol,3
realized_vol,3
bb_width,2
options_pcr,2
time_minutes,1
session_morning,1
adx,1
time_sin,1
rel_strength,1
range_exp,0
nifty_futures_basis,0
sentiment_score,0
session_lunch,0
atr,0
session_afternoon,0
options_unusual_oi,0
trade_size_dist,0
vol_delta,0
options_max_pain,0
session_opening,0
time_cos,0
session_closing,0
