feature,importance
dii_net_flow,0.08962415
options_max_pain,0.07965094
options_pcr_ratio,0.05834682
options_unusual_oi,0.05699991
trade_size_dist,0.05641645
options_max_pain_dev,0.053529482
amihud_illiquidity,0.046397816
realized_vol,0.041622724
fii_dii_flow_mom,0.041101754
fii_net_flow,0.039707802
momentum,0.03407953
ema_slope,0.033371527
adx,0.033239186
kyles_lambda,0.031921428
gk_vol,0.030831454
bb_width,0.029546397
vwap_dev,0.029141687
rel_strength,0.028070439
time_cos,0.025936527
time_sin,0.025698494
time_minutes,0.024742879
session_morning,0.02169731
atr,0.019289901
rvol,0.018103853
range_exp,0.015738307
options_pcr,0.01306235
session_afternoon,0.011413615
nifty_futures_basis,0.010717256
session_lunch,0.0
sentiment_score,0.0
vol_delta,0.0
session_opening,0.0
session_closing,0.0
